artistID,artistName,artistPopularity,artistFollowers,artistGenre,date
1NfJU4hy56Z4UM4iyIa1B2,Courteeners,49,322349,"britpop, english indie rock, manchester indie",2024-05-21
4OOlG5eBXSkSAAEeKjJb5Y,Courtney Barnett,49,583891,"art pop, australian indie, chamber pop, indie pop, indie rock, melbourne indie, noise pop, seattle indie, singer-songwriter, slacker rock",2024-05-21
2JyWXPbkqI5ZJa3gwqVa0c,Craig David,61,885331,british soul,2024-05-21
0aiYGmFDQyVzcr9mJwuICg,Cristian Varela,17,20208,"re:techno, spanish techno",2024-05-21
7K3zpFXBvPcvzhj7zlGJdO,Crystal Castles,68,2388144,"alternative dance, bitpop, digital hardcore, indietronica, neo-synthpop, new rave, nintendocore",2024-05-21
75EZuo5MHV2572NRpMWotC,Crystal Fighters,46,347158,shimmer pop,2024-05-21
4P0dddbxPil35MNN9G2MEX,Cypress Hill,64,2003829,"chicano rap, gangster rap, hip hop, rap rock, west coast rap",2024-05-21
00sAT5YX8W3xNd1EuqyHw9,Dada Life,45,398876,"big room, dutch house, edm, electro house, pop dance, progressive electro house, progressive house",2024-05-21
4tZwfgrHOc3mvqYlEYSvVi,Daft Punk,78,9859527,"electro, filter house, rock",2024-05-21
5Z3IWpvwOvoaWodujHw7xh,Dan Deacon,37,123608,"baltimore indie, experimental pop, indietronica, noise pop",2024-05-21
2HnZ1elnutngLH1BFwV1kM,Daniel Portman,32,18182,progressive house,2024-05-21
1PFc84GHTYPL0G12JHh9Mc,Dannic,38,172884,"dutch edm, dutch house, edm, electro house, pop dance, progressive electro house, progressive house, sky room",2024-05-21
5y3G1B8cpCTaoq0uDgjwzH,Danny Avila,43,46086,,2024-05-21
7aA592KWirLsnfb5ulGWvU,Danny Brown,59,846957,"alternative hip hop, detroit hip hop, escape room, hip hop, underground hip hop",2024-05-21
2tG935baRE4mH8B3saiwbm,Danny Tenaglia,35,47044,"classic progressive house, garage house, tribal house",2024-05-21
7FY5V3XMwlNBPitEjXowHQ,Darius Rucker,64,2547356,"black americana, contemporary country, country, country road, modern country rock",2024-05-21
4VjljDo2biBRVJ1WEXZ8GE,Dark Star Orchestra,13,6797,jam band,2024-05-21
1xT5p0VBpnZDrvVSjX9sri,Dash Berlin,59,548799,"big room, dutch trance, edm, pop dance, progressive house, trance, uplifting trance",2024-05-21
48q2mPVwlKnlSaCx07i6Ta,Datsik,39,337977,"breakbeat, brostep, canadian electronic, filthstep",2024-05-21
2TI7qyDE0QfyOlnbtfDo7L,Dave Matthews Band,61,1965669,"jam band, neo mellow, pop rock",2024-05-21
3TjRLW97EAU4w6knKVBl73,Dave Seaman,26,34682,"classic progressive house, deep techno, tribal house",2024-05-21
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,86,25474304,"big room, dance pop, edm, pop, pop dance",2024-05-21
